"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"75","Could anyone reply how  ","0","2020-05-01 15:45:32","FALSE","0","0",FALSE
"76","Amazon and Flipkart to resume deliveries of smartphones, laptops in green and orange zones  ","0","2020-05-01 15:34:09","FALSE","0","6",FALSE
"77","@SunOfGan @TapiocaChip No I dont agree with this. I live in Gurgaon. Its mostly deserted, no vehicles on roads. Al  ","0","2020-05-01 13:02:40","FALSE","0","0",FALSE
"78","RT @ravisin95970257:  ","0","2020-05-01 10:36:31","TRUE","1","0",FALSE
"79"," ","0","2020-05-01 10:34:23","FALSE","1","0",FALSE
"80","@virsanghvi @latha_venkatesh @LangaMahesh Please distribution for kirana stores at a regional level has economy of  ","0","2020-05-01 07:26:52","FALSE","0","0",FALSE
"81","Increase revenue and business with Zypp Delivery! Fill this form and let us meet your demands:  ","0","2020-04-30 18:33:05","FALSE","0","0",FALSE
"82","RT @varunguptaster: @AmazonHelp @amazon @amazonIN really bad experience shopping with you guys. Delivery boys are so rude and behave as the","-2","2020-04-30 17:08:23","TRUE","1","0",FALSE
"83","@AmazonHelp @amazon @amazonIN really bad experience shopping with you guys. Delivery boys are so rude and behave as  ","-2","2020-04-30 16:36:04","FALSE","1","0",FALSE
"84"," ","0","2020-04-30 16:35:18","FALSE","0","0",TRUE
"85","@AmazonHelp Your will will delivered today again they reschedule my delivery i contacted chat support they said kin  ","1","2020-04-30 13:43:04","FALSE","0","0",FALSE
"86","@ahalam @varunkrish I just got an amazon delivery though :) a hair trimmer. My essential item. Lol","0","2020-04-30 12:42:31","FALSE","0","0",FALSE
"87","RT @neelmourya: I think Government @PMOIndia should now allow OnlineShopping like Amazon Flipkart etc. There are many necessary things","1","2020-04-30 10:42:42","TRUE","2","0",FALSE
"88","RT @neelmourya: I think Government @PMOIndia should now allow OnlineShopping like Amazon Flipkart etc. There are many necessary things","1","2020-04-30 10:34:46","TRUE","2","0",TRUE
"89","I think Government @PMOIndia should now allow OnlineShopping like Amazon Flipkart etc. There are many necessary  ","1","2020-04-30 10:34:41","FALSE","2","2",FALSE
"90","@rvp CyberSecurity Cyber Security -  @ABC7: 'SO SWEET: Home security camera captured an Amazon delivery man play  ","1","2020-04-30 09:10:31","FALSE","0","1",FALSE
"91","RT @tanyya_grover: I got an amazon delivery Just right now.
When i asked the delivery guy that why is he working today he told me that he w","1","2020-04-30 08:22:23","TRUE","2","0",FALSE
"92","@amazonIN Non sense...your delivery agents refuse for non contact deliveries..if we have to come in direct contact  ","-1","2020-04-30 05:58:31","FALSE","0","0",FALSE
"93","@presidentapai Not necessary. There are plenty of advance purchase hotel bookings, for example, paid in advance. Ca  ","0","2020-04-30 05:25:02","FALSE","0","1",FALSE
"94","RT @shubhendu01: @AmazonHelp @amazonIN @amazon @AmitAgarwal 
Ur promise of doorstep delivery and no repetition of rude behaviour by deliver","0","2020-04-29 17:43:59","TRUE","1","0",FALSE
"95","@AmazonHelp @amazonIN @amazon @AmitAgarwal 
Ur promise of doorstep delivery and no repetition of rude behaviour by  ","0","2020-04-29 17:23:35","FALSE","1","1",FALSE
"96","RT @spiritualghost: Hi @1mgOfficial . Why did you show me an estimated delivery date of 28 April, when I was placing my order on 25th...onl","0","2020-04-29 13:23:32","TRUE","1","0",FALSE
"97","Hi @1mgOfficial . Why did you show me an estimated delivery date of 28 April, when I was placing my order on 25th..  ","0","2020-04-29 13:21:41","FALSE","1","1",FALSE
"98","RT @biswajitroy2009: Today I again talked to an Amazon executive &amp; he told me that he has checked with the delivery dept &amp; this product is","0","2020-04-29 11:38:50","TRUE","7","0",FALSE
"99","I think Amazon delivery guys are better than misbehaving Muslim &amp; Tablighi as far as lockdown or discipline is conc  ","1","2020-04-29 09:50:44","FALSE","0","0",FALSE
"100","@narendramodi @PMOIndia @AmitShah @HMOIndia :submission:
-Amazon likes pick Veg fm farmers,sell afresh Green,loss t  ","1","2020-04-29 09:43:08","FALSE","0","0",FALSE
"101","@JeffBezos You mean to say that you don't know what happened? Why my order was returned to the seller? Or why Amazo  ","0","2020-04-29 09:11:00","FALSE","0","0",FALSE
"102","@AmazonHelp You mean to say that you don't know what happened? Why my order was returned to the seller? Or why Amaz  ","0","2020-04-29 09:10:19","FALSE","0","0",FALSE
"103","Conclusively, amazon and other entities alike, shall eat your data, analyse any and all markets, supply, channels o  ","0","2020-04-29 08:38:53","FALSE","0","0",FALSE
"104","Up for signing any petition to make Amazon books delivery in essential. PDFs and Kindle do not do justice at all. :( Thistooshallpass","0","2020-04-29 05:50:37","FALSE","0","0",FALSE
"105","@Flipkart Your delivery boy called me from 7835899990 number just know and asking me to come somewhere else for my  ","0","2020-04-29 05:05:17","FALSE","0","1",FALSE
"106","Why is Amazon misleading? When I contacted customer support on chat, the agent first said ""cannot be delivered due  ","0","2020-04-29 04:35:50","FALSE","0","0",FALSE
"107","@JeffBezos Amazon India said 4/23/20 that my grocery order of 3/21 would be delivered today 4/24. Then I get a mess  ","-1","2020-04-29 04:35:49","FALSE","0","0",FALSE
"108","RT @rakeshvmishra: Amazon extends global Amazon Relief Fund to delivery partners in India - The Economic Times  ","1","2020-04-29 04:26:28","TRUE","1","0",FALSE
"109","Amazon extends global Amazon Relief Fund to delivery partners in India - The Economic Times  ","1","2020-04-29 04:25:46","FALSE","1","0",FALSE
"110","@SandeepMall Will do as soon as Amazon Flipkart delivery start, health investment has best RoI. ","1","2020-04-29 03:32:56","FALSE","0","2",FALSE
"111","E-commerce giant Amazon revs up delivery with IndianRailways! 

 ","0","2020-04-29 00:25:00","FALSE","1","1",FALSE
"112","RT @FinancialXpress: Parcel trains in demand! Amazon partners with IndianRailways to ramp up the delivery on 55 routes 
 ","0","2020-04-28 15:21:33","TRUE","7","0",FALSE
"113","RT @FinancialXpress: Parcel trains in demand! Amazon partners with IndianRailways to ramp up the delivery on 55 routes 
 ","0","2020-04-28 12:38:29","TRUE","7","0",TRUE
"114","Placed an order on Amazon long ago. Delayed delivery due to covid. Committed delivery on 25th. Today is 28th. Wante  ","-1","2020-04-28 11:52:56","FALSE","0","0",FALSE
"115","RT @FinancialXpress: Parcel trains in demand! Amazon partners with IndianRailways to ramp up the delivery on 55 routes 
 ","0","2020-04-28 11:00:47","TRUE","7","0",TRUE
"116","RT @FinancialXpress: Parcel trains in demand! Amazon partners with IndianRailways to ramp up the delivery on 55 routes 
 ","0","2020-04-28 10:47:08","TRUE","7","0",TRUE
