"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"55","Amazon delivery guy can bring me bhaji but no tubelight because that is not essential? kuni tari hya var prakash taakel ka?","0","2020-05-01 16:09:30","FALSE","0","1",FALSE
"56","How can non essentials standalone shops be allowed in the red zones but not deliveries. How does this help the reta  ","0","2020-05-01 15:12:44","FALSE","0","2",FALSE
"57","This ordered turned out to be even bigger surprise than I expected. 

One of the orders had edibles, the other dish  ","0","2020-05-01 14:47:35","FALSE","0","4",FALSE
"58","RT @MorisonsBaby: SmartMums our range of babycare products are available on various e-commerce platforms like Amazon, FirstCry, Flipkart &amp;","2","2020-05-01 13:54:48","TRUE","2","0",TRUE
"59","SmartMums our range of babycare products are available on various e-commerce platforms like Amazon, FirstCry, Flip  ","2","2020-05-01 12:30:00","FALSE","2","1",FALSE
"60","@SMahashur Amazon can provide safe delivery of products. If local merchants can enable the same, they should also b  ","1","2020-05-01 11:48:22","FALSE","0","2",FALSE
"61","@AmazonNews_IN I am working in Amazon flex as a delivery partner I know Amazon what they are doing for delivery par  ","0","2020-05-01 10:29:27","FALSE","0","0",FALSE
"62","@soanpapdii @Flipkart Amazon is always giving on time or before time delivery","0","2020-05-01 05:32:56","FALSE","0","0",FALSE
"63","Get amazon to start tge drone delivery going.. get drone delivery for every thing.. give me no reson to step out..  ","0","2020-05-01 02:45:15","FALSE","0","0",FALSE
"64","@prithvrj @CMOMaharashtra @OfficeofUT Good intention. Wouldn't it be better if the autodrivers were temporarily hir  ","2","2020-04-30 11:39:49","FALSE","0","0",FALSE
"65","@AmazonHelp I can understand the restriction of none of the courier from Amazon is able to deliver, so issue here i  ","-2","2020-04-30 09:29:14","FALSE","0","0",FALSE
"66","@amazon @AmazonHelp as you can see my order is actually daily essentials, I respect all the delivery agent's who ar  ","1","2020-04-30 09:12:23","FALSE","0","1",FALSE
"67","@amazon Order date 28-Apr-2020, 13 items, Order 405-7775923-9987541, my order was out for delivery, I didn't receiv  ","0","2020-04-30 09:05:16","FALSE","0","1",FALSE
"68","@AmazonHelp Ok. It's just that I see other Amazon delivery box in my society, but my order was not even attempted f  ","0","2020-04-30 08:28:44","FALSE","0","0",FALSE
"69","@amazonIN @mybmcWardN this is how Amazon delivery people dump their empty cartons on road and leave near Nellkanth  ","-1","2020-04-30 08:20:13","FALSE","0","0",FALSE
"70","@AmazonHelp Yes. But this order was placed 10 days earlier &amp; it was for essentials (as per Amazon app &amp; through Ama  ","0","2020-04-30 08:05:50","FALSE","0","0",FALSE
"71","Appreciation tweet for Amazon delivery and customer service support. @amazonIN 
Recently I had to reject a delivery  ","0","2020-04-30 07:46:19","FALSE","0","0",FALSE
"72","JioMart I was expecting Jio service equal or better than Amazon but my expectation was wrong. I have order from Ji  ","0","2020-04-30 07:38:22","FALSE","0","0",FALSE
"73","@amazonIN - placed amazon pantry order on 20th Apr and still it is not delivered.  It was to be delivered on 27th A  ","0","2020-04-30 07:27:10","FALSE","0","0",FALSE
"74","@sapnabhavnani You can get lightbulbs on Amazon. They fall under the home essentials category. Should get the delivery in 2-3 days.","-1","2020-04-30 06:19:16","FALSE","0","1",FALSE
"75","RT @rahul_0609: @amazonIN @JeffBezos @PiyushGoyal @AmitAgarwal 
CheatCustAmazon Amazon marked status of the product as delivered without d","0","2020-04-29 19:46:18","TRUE","1","0",FALSE
"76","@amazonIN @JeffBezos @PiyushGoyal @AmitAgarwal 
CheatCustAmazon Amazon marked status of the product as delivered w  ","0","2020-04-29 19:12:29","FALSE","1","0",FALSE
"77","@AmazonHelp I ordered masks from amazon on 20th april. Even amazon doesn't know where the consignment is, after 10  ","0","2020-04-29 11:03:40","FALSE","0","0",FALSE
"78","@AmitAgarwal @amazon @JeffBezos @amazonIN poor support by Amazon India, delivery after 24 days and now no refund...  ","1","2020-04-29 10:57:59","FALSE","0","0",FALSE
"79","why did MBMC stopped Essential Deliveries by amazon?

and delivery from local vendors are allowed??

@CMOMaharashtra @amazonIN","0","2020-04-29 09:31:38","FALSE","0","0",FALSE
"80","Amazon's Partner Support Fund for small and medium businesses in logistics will be available to Delivery Service  ","2","2020-04-29 05:35:36","FALSE","0","0",FALSE
"81","RT @prakashmohanta: @JeffBezos poor support by Amazon India, delivery after 15 days and now no refund...cheaters are in town","0","2020-04-29 02:13:46","TRUE","1","0",FALSE
"82","RT @prakashmohanta: @AmitAgarwal @amazon @JeffBezos @amazonIN poor support by Amazon India, delivery after 15 days and now no refund...chea","0","2020-04-29 02:12:23","TRUE","2","0",FALSE
"83","RT @Vikassharmasrs: @AmazonHelp @amazon below is the order details attached.I have prime account.
Called several time customer care, no sol","0","2020-04-29 01:04:44","TRUE","1","0",FALSE
"84","@AmazonHelp @amazon below is the order details attached.I have prime account.
Called several time customer care, no  ","0","2020-04-29 01:04:39","FALSE","1","0",FALSE
"85","With COVID situation, will India see the rise of its Government Postal Services? Can India Post become the delivery  ","0","2020-04-28 18:39:47","FALSE","0","0",FALSE
"86","RT @latestly: AmazonIndia, Flipkart Urge Government to Allow Delivery of Non-Essential Items During COVID19 Lockdown, Promise to Follow","1","2020-04-28 16:59:46","TRUE","1","0",FALSE
"87","Parcel trains in demand! Amazon partners with Indian Railways to ramp up the delivery on 55routes  ","0","2020-04-28 15:30:19","FALSE","0","0",FALSE
"88","@amazon @SuprDaily @bigbasket_com @swiggy_in @Zomato guys why is it that I am no delivery at pinncode 400028. I am  ","0","2020-04-28 11:57:19","FALSE","0","0",FALSE
"89","AmazonIndia, Flipkart Urge Government to Allow Delivery of Non-Essential Items During COVID19 Lockdown, Promise  ","1","2020-04-28 10:28:34","FALSE","1","6",FALSE
"90","@EconomicTimes @amazon first get the existing orders delivered. You take delivery fees for orders of essential prod  ","0","2020-04-28 07:37:27","FALSE","0","0",FALSE
"91","We need to tribute Delivery Associate also, because Delivery associate also server for India in difficult situation  ","-1","2020-04-28 04:49:55","FALSE","0","4",FALSE
"92","@amazon below is the order details attached.I have prime account.
Called several time cutomer care, no solution pro  ","0","2020-04-28 02:56:55","FALSE","0","0",FALSE
"93","@thehappyskipper @AUThackeray @KishoriPednekar @CMOMaharashtra @mayor_mumbai @mybmc What amazon does exactly?? In o  ","0","2020-04-27 19:01:29","FALSE","0","0",FALSE
"94","@amazonIN still haven't recieved the essential items, sorry to say but the best delivery network of Amazon is now f  ","0","2020-04-27 16:47:04","FALSE","0","0",FALSE
"95","@iAsura_ GST ke under hoti toh abhi tak home delivery ki permission mil jaati Swiggy Zomato Amazon ko","0","2020-04-27 16:35:53","FALSE","0","0",FALSE
"96","In a pandemic, if you aren't named Amazon, then chances are, you likely need to partner with a solid delivery netwo  ","1","2020-04-27 16:06:33","FALSE","0","0",FALSE
"97","@CPPuneCity 
I own a company  which is into delivery of essentials  with Amazon
All of a sudden my Sammobile  audio  ","0","2020-04-27 15:38:48","FALSE","0","0",FALSE
"98","WFH
- Wake up
- Chai
- Can you hear me? Can you see my screen? I'll share my screen 
- Chai
- Amazon delivery start kiya kya?
- Chai
- sleep","0","2020-04-27 14:53:19","FALSE","0","0",FALSE
"99","RT @sarath_1604: @AmazonFresh @amazonIN @AmazonHelp - I'm ok getting delivery on Saturday but what's the point if 23 out of 26 items will n","0","2020-04-27 14:09:05","TRUE","1","0",FALSE
"100","@AmazonFresh @amazonIN @AmazonHelp - I'm ok getting delivery on Saturday but what's the point if 23 out of 26 items  ","0","2020-04-27 14:06:51","FALSE","1","1",FALSE
"101","@AUThackeray @KishoriPednekar @CMOMaharashtra @mayor_mumbai @mybmc Aditya what about wine shops??  i have idea ple  ","0","2020-04-27 12:45:34","FALSE","0","1",FALSE
"102","RT @SK143007: @AmazonHelp @amazonIN  We Amazon delivery associates risk our lives in this crucial times and not getting paid for the block","-1","2020-04-27 12:12:04","TRUE","1","0",FALSE
"103","@AmazonHelp @amazonIN  We Amazon delivery associates risk our lives in this crucial times and not getting paid for  ","-1","2020-04-27 12:10:02","FALSE","1","0",FALSE
"104","@TheBullBull Big basket no slot available. Ordered from Amazon Yesterday, was supposed to deliver by Friday 1st may  ","1","2020-04-27 11:18:18","FALSE","0","0",FALSE
"105","Dear @PiyushGoyal sir, why aren't baby clothes classified as essentials? I have a baby who is running out of clothe  ","0","2020-04-27 11:02:24","FALSE","0","1",FALSE
"106","@jigar7 @JhaSanjay @OfficeofUT @AUThackeray ur local kirana shop is the best bet...Amazon has started some delivery  ","1","2020-04-27 10:41:17","FALSE","0","0",FALSE
"107","Up To 35% OFF on Cooking Essentials at Amazon and Delivery in 2 hours for prime users
Hurry Up!!!  ","0","2020-04-27 10:06:15","FALSE","0","1",FALSE
"108","I was ordering for groceries and veggies. Tried a few online platforms. Ease of ordering, useful prompts, avlb slot  ","2","2020-04-27 09:43:23","FALSE","0","0",FALSE
"109","@AmitAgarwal @amazon @JeffBezos @amazonIN poor support by Amazon India, delivery after 15 days and now no refund...  ","1","2020-04-27 08:39:14","FALSE","0","0",FALSE
"110","RT @prakashmohanta: @AmitAgarwal @amazon @JeffBezos @amazonIN poor support by Amazon India, delivery after 15 days and now no refund...chea","0","2020-04-27 08:37:52","TRUE","2","0",TRUE
"111","Get FLAT 18% OFF on Medicines at 1MG
Use Code: CKMED

Also Earn up to Rs. 300 Amazon Pay Balance. 

Delivery in Wag  ","0","2020-04-27 05:20:37","FALSE","2","3",FALSE
"112","@PMOIndia @CMOMaharashtra pls start amazon delivery to all zones in Mumbai Metropolian Region. Only Amazon delivers  ","0","2020-04-27 03:26:01","FALSE","0","0",FALSE
"113","@PMOIndia @GoI_MeitY
Why cant Ecommerce be given clearence to sale nonessentials.Its home delivery and not people f  ","0","2020-04-27 03:10:49","FALSE","0","1",FALSE
