"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"91","If I ran Amazon I would be better than Jeff Bezos. Not only because Id give all my delivery drivers health insuran  ","1","2020-05-05 14:33:25","FALSE","2","8",FALSE
"92","Amazon made a commerical with a little girl making a rainbow on the sidewalk with the words thank you and the deliv  ","1","2020-05-05 14:32:25","FALSE","0","0",FALSE
"93","@annacristiinnaa looking beaut in our Kiarina tanning mousse in Mocha - Ultra Dark 

Dont forget to take advant  ","-1","2020-05-05 14:32:15","FALSE","0","1",FALSE
"94","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:31:35","TRUE","26","0",TRUE
"95","Dont you hate when you get that package delivered notification and theres nothing... smh @amazon delivery","-1","2020-05-05 14:31:05","FALSE","0","0",FALSE
"96","dear @amazon on OOS items why do you say ""you will not be charged until the order is dispatched"". you took the mone  ","0","2020-05-05 14:30:45","FALSE","0","0",FALSE
"97","@SharonaSparkles Im glad Alexa doesnt tell me how many items are out for delivery  
 ","1","2020-05-05 14:30:15","FALSE","0","0",FALSE
"98","@Ci__Cee Hi Cee. Please let us know what the tracking status shows here:  ","0","2020-05-05 14:29:46","FALSE","0","0",FALSE
"99","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:28:40","TRUE","26","0",TRUE
"100","Brick &amp; Mortar stores in 2020 still dont understand online or think it is just setting a website &amp; shopping cart. T  ","0","2020-05-05 14:28:34","FALSE","0","0",FALSE
"101","RT @michalnaka: Interesting new role: Amazon is hiring a leader to scale its Electric Bike delivery program in North America.

An ideal ca","2","2020-05-05 14:28:29","TRUE","34","0",FALSE
"102","@tobytarrant @Victorianplumb Should have got one from Amazon @tobytarrant  - no problems with mine and next day delivery on Prime ","-1","2020-05-05 14:28:08","FALSE","0","0",FALSE
"103","@GibraltarJon Argos? Amazon 1 day delivery?","0","2020-05-05 14:27:56","FALSE","0","0",FALSE
"104","@CHRISTINAKING2 Its so exciting when items are out for delivery isnt it!  ","1","2020-05-05 14:26:21","FALSE","0","0",FALSE
"105","@mrHutchison20 @iamslick man.. I placed an order on amazon for a 27"" curve monitor, the cost of shipping and delive  ","0","2020-05-05 14:26:17","FALSE","0","0",FALSE
"106","@PMOIndia It will be a great idea to consider making home delivery of liquor through ecommerce stores like Amazon,  ","2","2020-05-05 14:25:53","FALSE","0","0",FALSE
"107","RT @DBLTAPesports: No one: 

Amazon Prime Delivery Drivers:  ","0","2020-05-05 14:25:23","TRUE","9112","0",FALSE
"108","RT @deadlinenews: Thats gross and to think hell be touching other peoples parcels.

 ","-2","2020-05-05 14:24:33","TRUE","1","0",FALSE
"109","LET IT BE KNOWN !!!! 

any viral post you see about a FEDEX UPS or AMAZON delivery driver is VIRAL ADVERTISING. 

A  ","0","2020-05-05 14:24:26","FALSE","0","3",FALSE
"110","Thats gross and to think hell be touching other peoples parcels.

 ","-2","2020-05-05 14:24:23","FALSE","1","0",FALSE
"111","Another delivery  

The cards are from friends but the package is Subfunded 

The T-shirt from my latest poll   ","0","2020-05-05 14:23:41","FALSE","0","0",FALSE
"112","RT @AmazingCanCan: I got my first Amazon Fresh delivery slot in 5 weeks, and I panicked and got popcorn oil and biscotti. also they were ou","0","2020-05-05 14:23:12","TRUE","1","0",FALSE
"113","so i ordered myself some new pens..... and i have been patiently waiting....... in my memory the delivery date is t  ","1","2020-05-05 14:22:43","FALSE","0","7",FALSE
"114","Cat litter delivery from Amazon about to arrive. Never had cat litter delivered before. Pretty excited tbh.  ","2","2020-05-05 14:22:01","FALSE","0","0",FALSE
"115","@Zayyum_Zaddie Were temporarily experiencing longer than usual delivery times, please wait three days after your d  ","0","2020-05-05 14:21:46","FALSE","0","0",FALSE
"116","@creillyedu Hi Charlotte. Were temporarily experiencing longer than usual delivery times, please wait three days a  ","0","2020-05-05 14:21:13","FALSE","0","0",FALSE
"117","Amazon Prime is finally back on the regularly scheduled program for package delivery time","0","2020-05-05 14:20:29","FALSE","0","1",FALSE
"118","Delivery truck traffic jam in front of my place right now. DHL, UPS, and Amazon are in a stand-off.  ","0","2020-05-05 14:19:24","FALSE","0","1",FALSE
"119","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:18:54","TRUE","26","0",TRUE
"120","I got my first Amazon Fresh delivery slot in 5 weeks, and I panicked and got popcorn oil and biscotti. also they we  ","0","2020-05-05 14:18:53","FALSE","1","4",FALSE
"121","i got a delivery with amazon every day this week i got a tighten up..","0","2020-05-05 14:18:35","FALSE","0","0",FALSE
"122","Amazon dont know when they want to deliver ya stuff one min its one date &amp; the next its another delivery date","0","2020-05-05 14:17:43","FALSE","0","1",FALSE
"123","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:17:41","TRUE","26","0",TRUE
"124","When you're happy - we're happy! If you're not 100% satisfied with your DermalDab purchase, let us know to obtain  ","3","2020-05-05 14:15:09","FALSE","0","0",FALSE
